Datum	Van	Tot	Lokaal	Onderwerp	Unnamed: 5
2023-09-19	09:00:00	16:30:00	1R103-BYOD	Inleiding & data science project	
2023-09-26	09:00:00	16:30:00	1R103-BYOD	Data science project & project de-icing	
2023-10-03	09:00:00	16:30:00	1R103-BYOD	Project de-icing & basic python	
2023-10-10	09:00:00	16:30:00	1R103-BYOD	Basis python	
2023-10-17	09:00:00	16:30:00	1R103-BYOD	Basis python	
2023-10-24	09:00:00	16:30:00	1R103-BYOD	Basis python	
2023-10-31	09:00:00	16:30:00	1R103-BYOD		
2023-11-07	09:00:00	16:30:00	1R103-BYOD	Python voor data	
2023-11-14	09:00:00	16:30:00	1R103-BYOD	Git, github & clean workflow	
2023-11-21	09:00:00	16:30:00	1R103-BYOD	Numpy	
2023-11-28	09:00:00	16:30:00	1R103-BYOD	Numpy	online examen GDPR!
2023-12-05	09:00:00	16:30:00	1R103-BYOD	Pandas	
2023-12-12	09:00:00	16:30:00	1R103-BYOD	Pandas	
2023-12-19	09:00:00	16:30:00	1R103-BYOD	Pandas	
2023-12-26	09:00:00	16:30:00	1R103-BYOD		
2024-01-02	09:00:00	16:30:00	1R103-BYOD		
2024-01-09	09:00:00	16:30:00	1R103-BYOD	Matplotlib	
2024-01-16	09:00:00	16:30:00	1R103-BYOD	Matplotlib	
2024-01-23	09:00:00	16:30:00	1R103-BYOD	UI	
2024-01-30	09:00:00	16:30:00	1R103-BYOD	UI	
2024-02-06	09:00:00	12:30:00	1R103-BYOD		
2024-02-13	09:00:00	16:30:00	1R103-BYOD		
2024-02-20	09:00:00	16:30:00	1R103-BYOD	Examen	
2024-02-27	09:00:00	16:30:00	1R103-BYOD		
2024-03-05	09:00:00	16:30:00	1R103-BYOD		
2024-03-12	09:00:00	16:30:00	1R103-BYOD		
2024-03-19	09:00:00	16:30:00	1R103-BYOD		
2024-03-26	09:00:00	16:30:00	1R103-BYOD		
2024-04-02	09:00:00	16:30:00	1R103-BYOD		
2024-04-09	09:00:00	16:30:00	1R103-BYOD		
2024-04-16	09:00:00	16:30:00	1R103-BYOD		
2024-04-23	09:00:00	16:30:00	1R103-BYOD		
2024-04-30	09:00:00	16:30:00	1R103-BYOD		
2024-05-07	09:00:00	16:30:00	1R103-BYOD		
2024-05-14	09:00:00	16:30:00	1R103-BYOD		
2024-05-21	09:00:00	16:30:00	1R103-BYOD		
2024-05-28	09:00:00	16:30:00	1R103-BYOD		
2024-06-04	09:00:00	16:30:00	1R103-BYOD		
2024-06-11	09:00:00	16:30:00	1R103-BYOD		
2024-06-18	09:00:00	12:30:00	1R103-BYOD	Examen	
2024-06-25	09:00:00	12:30:00	1R103-BYOD	Eindproef	
