,name,waittime (min),state
0,Scorpion Express,0,Gesloten
1,Vampire,0,Gesloten
2,ZUFARI: Ride into Africa!,0,Gesloten
3,Flying Jumbos,0,Gesloten
4,Dragon's Fury,0,Gesloten
5,Griffin's Galleon,0,Gesloten
6,Canopy Capers,0,Gesloten
7,Sea Dragons,0,Gesloten
8,Tomb Blaster,0,Gesloten
9,Tiny Truckers,0,Gesloten
10,Rattlesnake,0,Gesloten
11,KOBRA,0,Gesloten
12,Monkey Swinger,0,Gesloten
13,Tuk Tuk Turmoil,0,Gesloten
14,Seastorm,0,Gesloten
15,Jungle Bus,0,Gesloten
16,Treetop Hoppers,0,Gesloten
17,Tiger Rock,0,Gesloten
18,Temple of Mayhem,0,Gesloten
19,AMAZU Treetop Adventure,0,Gesloten
20,The Gruffalo River Ride Adventure,0,Gesloten
21,Adventure Tree,0,Gesloten
22,Room on the Broom - A Magical Journey,0,Gesloten
23,Mandrill Mayhem,0,Gesloten
24,Ostrich Stampede,0,Gesloten
25,Mamba Strike,0,Gesloten
