,name,waittime (min),state
0,'it's a small world',5,Open
1,Dumbo the Flying Elephant,5,Open
2,Mad Hatter's Tea Cups,5,Open
3,Le Pays des Contes de Fées,0,Open
4,Rustler Roundup Shootin' Gallery,0,Open
5,Thunder Mesa Riverboat Landing,0,Open
6,Frontierland Playground,0,Open
7,Big Thunder Mountain,0,Open
8,Le Carrousel de Lancelot,5,Open
9,Casey Jr. - le Petit Train du Cirque,0,Open
10,Alice's Curious Labyrinth,0,Open
11,Phantom Manor,5,Open
12,Blanche-Neige et les Sept Nains®,0,Open
13,Mickey’s PhilharMagic,0,Open
14,Starport: A Star Wars Encounter,0,Open
15,Princess Pavilion,0,Open
16,Meet Mickey Mouse,0,Open
17,Main Street Vehicles,0,Open
18,Peter Pan's Flight,30,Open
