,name,waittime (min),state
0,Space Booster,0,Gesloten
1,Samoloty,0,Gesloten
2,Farma Krasnali,0,Gesloten
3,WRC Auto Zderzaki,0,Gesloten
4,Frutti Loop,0,Gesloten
5,Śmiejżelki ENERGUŚ,0,Gesloten
6,Toffifee Kopalnia Złota,0,Gesloten
7,Splash Battle,0,Gesloten
8,Mars,0,Gesloten
9,Jeep Safari,0,Gesloten
10,Atlantis,0,Gesloten
11,Latające Huśtawki,0,Gesloten
12,Pyramid Cinema 7D,0,Gesloten
13,Space Gun,0,Gesloten
14,Monster House,0,Gesloten
15,Mayan,0,Gesloten
16,Apocalypto,0,Gesloten
17,Aztec Swing,0,Gesloten
18,Viking,0,Gesloten
19,Tsunami Drop,0,Gesloten
20,RMF Dragon,0,Gesloten
21,Formuła,0,Gesloten
22,Swiss Water Cups,0,Gesloten
23,Viking Ride,0,Gesloten
24,Jungle Adventure,0,Gesloten
25,Speed,0,Gesloten
26,Anaconda,0,Gesloten
27,Boomerang,0,Gesloten
28,Magic Fly,0,Gesloten
29,141-HYPERION RC,0,Gesloten
30,Formula Autodrom,0,Gesloten
31,Dragon Adventure,0,Gesloten
32,Draken,0,Gesloten
33,Frida,0,Gesloten
34,Zadra,0,Gesloten
35,Tidal Wave Twister,0,Gesloten
36,Grotto Expedition,0,Gesloten
37,Ekipa Light Explorers,0,Gesloten
38,Abyssus,0,Gesloten
39,WOLNE ZAPAS,0,Gesloten
40,Wonder Wheel,0,Gesloten
41,MAIN TRAIN 2,0,Gesloten
42,215-MAIN TRAIN,0,Gesloten
43,FAST-PASS MAIN TRAIN LICZNIK,0,Gesloten
44,LOLIPOP FARM,0,Gesloten
45,HONEY HARBOR,0,Gesloten
46,MAIN TRAIN WINDY,0,Gesloten
