,name,waittime (min),state
0,WODAN - Timburcoaster,0,Gesloten
1,blue fire Megacoaster,0,Gesloten
2,Silver Star,0,Gesloten
3,Eurosat – CanCan Coaster,0,Gesloten
4,Eurosat Coastiality,0,Gesloten
5,Euro-Mir,0,Gesloten
6,Matterhorn-Blitz,0,Gesloten
7,Pegasus - Die YoungStar Achterbahn,0,Gesloten
8,Wasserachterbahn Poseidon,0,Gesloten
9,Schweizer Bobbahn,0,Gesloten
10,Whale Adventures - Northern Lights,0,Gesloten
11,Abenteuer Atlantis,0,Gesloten
12,Geisterschloss,0,Gesloten
13,Piraten in Batavia,0,Gesloten
14,Madame Freudenreich Curiosités,0,Gesloten
15,ARTHUR,0,Gesloten
16,Euro-Tower,0,Gesloten
17,Arena of Football - Be Part of It!,0,Gesloten
18,Ba-a-a Express,0,Gesloten
19,Dancing Dingie,0,Gesloten
20,Josefinas kaiserliche Zauberreise,0,Gesloten
21,Kolumbusjolle,0,Gesloten
22,Old Mac Donald's Tractor Fun,0,Gesloten
23,Poppy Towers,0,Gesloten
24,Vindjammer,0,Gesloten
25,Wiener Wellenflieger,0,Gesloten
26,Voletarium,0,Gesloten
27,Jim Knopf – Reise durch Lummerland,0,Gesloten
28,Snorri Touren,0,Gesloten
29,"Riesenrad ""Bellevue""",0,Gesloten
30,VirtualLine: Euro-Mir,0,Gesloten
31,VirtualLine: blue fire Megacoaster,0,Gesloten
32,VirtualLine: WODAN - Timburcoaster,0,Gesloten
33,VirtualLine: Piraten in Batavia,0,Gesloten
34,VirtualLine: Voletarium,0,Gesloten
35,VirtualLine: Wasserachterbahn Poseidon,0,Gesloten
