,name,waittime (min),state
0,Rattenmühle,0,Gesloten
1,Drachenbahn,0,Gesloten
2,Entenparade,0,Gesloten
3,Märchenkarussell,0,Gesloten
4,Adlerflug,0,Gesloten
5,Komet,0,Gesloten
6,Oldtimer-Convoy,0,Gesloten
7,Schildkrötenkarussell,0,Gesloten
8,Stellarium,0,Gesloten
9,Turmgucker,0,Gesloten
10,Fernlenkboote,0,Gesloten
11,Götterblitz,0,Gesloten
12,Herkules,0,Gesloten
13,Krokobahn,0,Gesloten
14,Leonardos Flugmaschine,0,Gesloten
15,Römerturm,0,Gesloten
16,Seedrache,0,Gesloten
17,Tempelrutsche,0,Gesloten
18,Almjodler,0,Gesloten
19,Apfelflug,0,Gesloten
20,Biberburg,0,Gesloten
21,Fassltanz,0,Gesloten
22,Froschhüpfer,0,Gesloten
23,Gockeljagd,0,Gesloten
24,Schweinchenbahn,0,Gesloten
25,Traktorbahn,0,Gesloten
26,Verrückte Vogelscheuche,0,Gesloten
27,Waldtierrennen,0,Gesloten
28,Die 3 finsteren Gesellen,0,Gesloten
