,name,waittime (min),state
0,I Corsari: la Vendetta del Fantasma,0,Gesloten
1,Mammut,0,Gesloten
2,Fuga da Atlantide,0,Gesloten
3,Jungle Rapids,0,Gesloten
4,Colorado Boat,0,Gesloten
5,Jumanji - The Adventure,0,Gesloten
6,Kung Fu Panda Master,0,Gesloten
7,Peppa Pig Land - La Casa di Peppa Pig,0,Gesloten
8,Peppa Pig Land - L'isola dei Pirati,0,Gesloten
9,Peppa Pig Land - Il trenino di Nonno Pig,0,Gesloten
10,Peppa Pig Land - La mongolfiera di Peppa Pig,0,Gesloten
11,Kung Fu Panda Academy - Mr Ping's Noodle Surprise,0,Gesloten
12,Prezzemolo Land,0,Gesloten
13,L’Albero di Prezzemolo,0,Gesloten
14,Doremifarm,0,Gesloten
15,Baby Pilota,0,Gesloten
16,Baby Corsaro,0,Gesloten
17,Baby Canoe,0,Gesloten
18,Baby Cavalli,0,Gesloten
19,Funny Express,0,Gesloten
20,Prezzemolo Magic Village,0,Gesloten
21,Flying Island,0,Gesloten
22,Transgardaland Express,0,Gesloten
23,Giostra Cavalli,0,Gesloten
24,Ortobruco Tour,0,Gesloten
25,Monorotaia,0,Gesloten
26,Superbaby,0,Gesloten
27,Peter Pan,0,Gesloten
28,Shaman,0,Gesloten
29,Oblivion: The Black Hole,0,Gesloten
30,Raptor,0,Gesloten
31,Blue Tornado,0,Gesloten
32,Space Vertigo,0,Gesloten
33,Magic House,0,Gesloten
34,Cinema 4D Experience,0,Gesloten
35,Volaplano,0,Gesloten
36,Jumanji The Labyrinth,0,Gesloten
37,Il Bosco degli Gnomi,0,Gesloten
