,name,waittime (min),state
0,Awildas Abenteuerfahrt,0,Gesloten
1,Awildas Ausguck,0,Gesloten
2,Barcos del Mar,0,Gesloten
3,Barracuda Slide,0,Gesloten
4,Beach-Trucks im Piraten Camp,0,Gesloten
5,Blumenmeer-Bootsfahrt,0,Gesloten
6,Carrousel Baltique,0,Gesloten
7,Crazy Mine,0,Gesloten
8,Der kleine Zar,0,Gesloten
9,Der Schwur des KÄRNAN,0,Gesloten
10,Die Schlange von Midgard,0,Gesloten
11,Die Tierkinder vom Peterhof,0,Gesloten
12,Dr. Livingstone's Safari-Flug,0,Gesloten
13,Fliegender Holländer,0,Gesloten
14,Flucht von Novgorod,0,Gesloten
15,Flying Orcas,0,Gesloten
16,HANSA-PARK-Express,0,Gesloten
17,HANSE-Flieger,0,Gesloten
18,HANSE-Karussell,0,Gesloten
19,HIGHLANDER,0,Gesloten
20,Holsteinturm,0,Gesloten
21,Indian River,0,Gesloten
22,KÄRNAPULTEN,0,Gesloten
23,Koggenfahrt,0,Gesloten
24,Kräuter- und Bauerngarten,0,Gesloten
25,Luftikus,0,Gesloten
26,Mini-Autos,0,Gesloten
27,Nessie,0,Gesloten
28,Odins Luftreise,0,Gesloten
29,Pony Post,0,Gesloten
30,Pow Wow,0,Gesloten
31,Royal Scotsman,0,Gesloten
32,Safari-Jeeps,0,Gesloten
33,Space Scooter,0,Gesloten
34,Spanische Gärten,0,Gesloten
35,Störtebekers Kaperfahrt,0,Gesloten
36,Sturmfahrt der Drachenboote,0,Gesloten
37,Super Splash,0,Gesloten
38,Turm vom Peterhof,0,Gesloten
39,Wellenreiter,0,Gesloten
40,Wikinger-Bootsfahrt,0,Gesloten
41,Wildwasserfahrt - Der Wasserwolf am Ilmensee,0,Gesloten
