,name,waittime (min),state
0,Avonturenbos,0,Gesloten
1,Antikes Pferdekarussell,0,Gesloten
2,Free Fall Tower,0,Gesloten
3,Ballenbad,0,Gesloten
4,Balloon Race,0,Gesloten
5,Dierenmolen,0,Gesloten
6,Beach Rescue,0,Gesloten
7,Beach Playground,0,Gesloten
8,De Bijenmolen,0,Gesloten
9,bigFM Expedition GeForce,0,Gesloten
10,Bloementoren,0,Gesloten
11,De vissersboot,0,Gesloten
12,Flip de Sprinkhaan,0,Gesloten
13,Heidi's Speeltuin,0,Gesloten
14,De Lieveheersbeestjesvlucht,0,Gesloten
15,Tabaluga's Achtbaan,0,Gesloten
16,Lighthouse Tower,0,Gesloten
17,De Dansende Fonteinen,0,Gesloten
18,Maya's Bloemenmolen ,0,Gesloten
19,De Swingboom,0,Gesloten
20,Wellenflug,0,Gesloten
21,Mini-Cars,0,Gesloten
22,Red Baron,0,Gesloten
23,De Emmer,0,Gesloten
24,Reuzenglijbaan,0,Gesloten
25,De Vlindervlucht,0,Gesloten
26,Sky Fly,0,Gesloten
27,Sky Scream,0,Gesloten
28,Wickie Splash,0,Gesloten
29,Het Vlottencircuit Van Willy,0,Gesloten
30,Heer Kikker,0,Gesloten
31,Theater,0,Gesloten
32,Playground GeForce,0,Gesloten
33,Mia's Elfenvlucht,0,Gesloten
34,De Maya Speeltuin,0,Gesloten
35,DinoSplash,0,Gesloten
36,De Grote Golf,0,Gesloten
37,Splash Battle,0,Gesloten
38,Wickie Speeltuin,0,Gesloten
39,Aqua Team Playground,0,Gesloten
40,Dizzy Slide,0,Gesloten
41,Donnie Slide,0,Gesloten
42,Jerome Race,0,Gesloten
43,Jett Slide,0,Gesloten
44,De Smurfen - Het Preview Center,0,Gesloten
