,name,waittime (min),state
0,LEGO® NINJAGO® The Ride,0,Gesloten
1,Fire Academy,0,Gesloten
2,Atlantis Submarine Voyage,0,Gesloten
3,Balloon School,0,Gesloten
4,Coastguard HQ,0,Gesloten
5,Desert Chase,0,Gesloten
6,Destiny's Bounty,0,Gesloten
7,Dragon's Apprentice,0,Gesloten
8,DUPLO® Train,0,Gesloten
9,DUPLO® Valley Airport,0,Gesloten
10,Fairy Tale Brook,0,Gesloten
11,Jolly Rocker,0,Gesloten
12,Knights' Quest,0,Gesloten
13,Laser Raiders,0,Gesloten
14,L-Drivers,0,Gesloten
15,LEGO® City Driving School,0,Gesloten
16,S.Q.U.I.D Surfer,0,Gesloten
17,Scarab-Bouncers,0,Gesloten
18,Mia's Riding Adventure,0,Gesloten
19,Pirate Falls Treasure Quest,0,Gesloten
20,Raft Racers,0,Gesloten
21,Sky Rider,0,Gesloten
22,Spinning Spider,0,Gesloten
23,The Dragon,0,Gesloten
24,Thunder Blazer,0,Gesloten
25,Vikings' River Splash,0,Gesloten
26,Aero Nomad,0,Gesloten
27,LEGOLAND® Express,0,Gesloten
28,DUPLO® Dino Coaster,0,Gesloten
