,name,waittime (min),state
0,LEGO® City Police Station Maze,0,Gesloten
1,Pedal-A-Car,0,Gesloten
2,Caterpillar Ride,0,Gesloten
3,Dragon Hunt,0,Gesloten
4,Temple X-pedition,0,Gesloten
5,Pirate School,0,Gesloten
6,Captain Nick's Splash Battle,0,Gesloten
7,LEGO® Factory,0,Gesloten
8,LEGOLAND® Express,0,Gesloten
9,Flying NINJAGO®,0,Gesloten
10,Airport,0,Gesloten
11,Power Builder,0,Gesloten
12,Hyundai LEGOLAND® Junior Driving School,0,Gesloten
13,Harbour Cruise,0,Gesloten
14,Fire Dragon,0,Gesloten
15,The Great LEGO® Race,0,Gesloten
16,Techno Tea Cups,0,Gesloten
17,LEGOLAND® ATLANTIS by SEA LIFE®,0,Gesloten
18,Aquazone Wave Racers,0,Gesloten
19,Jungle X-pedition,0,Gesloten
20,Canoe X-pedition,0,Gesloten
21,Safari Tour,0,Gesloten
22,Royal Joust,0,Gesloten
23,Kids Power Tower,0,Gesloten
24,LEGO® NINJAGO® The Ride,0,Gesloten
25,Observation Tower,0,Gesloten
26,Lloyd’s Spinjitzu Spinner,0,Gesloten
27,MAXIMUS - The Guardian's Flight,0,Gesloten
