,name,waittime (min),state
0,AeroSpin,10,Open
1,Balder,10,Open
2,Barnens Paradis,10,Open
3,Blomsterkarusellen,10,Open
4,Bushållplatsen,10,Open
5,Cyklonen,10,Open
6,Farfars Bil,1120,Open
7,Fisketuren,10,Open
8,Flygis,2130,Open
9,Hissningen,10,Open
10,JukeBox,10,Open
11,Tuta & Kör,1120,Open
12,Stampbanan,10,Open
13,Rabalder,10,Open
14,Slänggungan,10,Open
15,Radiobilarna,10,Open
16,Hoppalång,10,Open
17,Mechanica,10,Open
18,Högspänningen,10,Open
19,Lisebergshjulet,10,Open
20,Kaffekoppen,10,Open
21,Kaninlandsbanan,10,Open
22,Lilla Lots,10,Open
23,Kristallsalongen,10,Open
24,Loke,10,Open
25,Luna - Nyhet!,10,Open
26,Valkyria,10,Open
27,Tomtehuset -träffa Tomtefar,4150,Open
28,Underlandet,10,Open
29,Morotsresan,0,Open
30,Turbo,10,Open
31,Tempus,10,Open
