,name,waittime (min),state
0,Adventure Tour,0,Gesloten
1,Zuma's Zoomers,0,Gesloten
2,Skye's High Flyer,0,Gesloten
3,SpongeBob Splash Bash,0,Gesloten
4,Sea Swing,0,Gesloten
5,Rescue 112,0,Gesloten
6,Pier Side Carousel,0,Gesloten
7,Santa Monica Wheel,0,Gesloten
8,The Lost Temple,0,Gesloten
9,Backyardigans Mission to Mars,0,Gesloten
10,Avatar Air Glider,0,Gesloten
11,Splat-O-Sphere,0,Gesloten
12,Stormy Cruise,0,Gesloten
13,Back at the Barnyard Bumpers,0,Gesloten
14,Area 51 - Top Secret,0,Gesloten
15,Star Trek™: Operation Enterprise,0,Gesloten
16,The High Fall,0,Gesloten
17,The Bandit,0,Gesloten
18,Van Helsing's Factory,0,Gesloten
19,Side Kick,0,Gesloten
20,Crazy Surfer,0,Gesloten
21,Excalibur - Secrets of the Dark Forest,0,Gesloten
22,Dora’s Big River Adventure,0,Gesloten
23,Ghost Chasers,0,Gesloten
24,NYC Transformer,0,Gesloten
25,Time Riders,0,Gesloten
26,Jimmy Neutron’s Atomic Flyer,0,Gesloten
27,Fairy World Spin,0,Gesloten
28,Movie Park Studio Tour,0,Gesloten
