,name,waittime (min),state
0,Tonnerre 2 Zeus,0,Gesloten
1,Goudurix,0,Gesloten
2,La Trace du Hourra,0,Gesloten
3,Les Petits Drakkars,0,Gesloten
4,OzIris,0,Gesloten
5,Le Défi de César,0,Gesloten
6,SOS Numérobis,0,Gesloten
7,Les Chevaux du Roy,0,Gesloten
8,Le Carrousel de César,0,Gesloten
9,Les Espions de César,0,Gesloten
10,Epidemaïs Croisière,0,Gesloten
11,La Rivière d'Elis,0,Gesloten
12,La Petite Tempête,0,Gesloten
13,Le Vol d'Icare,0,Gesloten
14,L'Hydre de Lerne,0,Gesloten
15,L'Oxygénarium,0,Gesloten
16,Les Chaudrons,0,Gesloten
17,Le Cheval de Troie,0,Gesloten
18,La Galère,0,Gesloten
19,Les Chaises Volantes,0,Gesloten
20,Le Petit Train,0,Gesloten
21,Les Petites Chaises Volantes,0,Gesloten
22,L'Escadrille des As,0,Gesloten
23,Le Mini Carrousel,0,Gesloten
24,Les Petits Chars tamponneurs,0,Gesloten
25,Enigmatix,0,Gesloten
26,Aérodynamix,0,Gesloten
27,Lavomatix,0,Gesloten
28,Hydrolix,0,Gesloten
29,Etamine,0,Gesloten
30,Aire de jeux Viking,0,Gesloten
31,Discobélix,0,Gesloten
32,Aire de Jeux Panoramix,0,Gesloten
33,Aire de Jeux du Petit Chêne,0,Gesloten
34,Pégase Express,0,Gesloten
35,Attention Menhir !,0,Gesloten
36,L'Aventure Astérix,0,Gesloten
37,Tous en piste ! Le village de la glisse,0,Gesloten
38,Aire de jeux du Sanglier d'Or,0,Gesloten
39,Toutatis,0,Gesloten
40,Chez Gyrofolix,0,Gesloten
41,Les jardins merveilleux du Père Noël,0,Gesloten
42,Mission Perdue,0,Gesloten
