,name,waittime (min),state
0,Academia de pilotos Baby Looney Tunes,0,Gesloten
1,Escuela de conducción Yabba-Dabba-Doo,0,Gesloten
2,Cine Tour,0,Gesloten
3,La Aventura de Scooby-Doo,0,Gesloten
4,Pato Lucas Coches Locos,0,Gesloten
5,¡A Toda Máquina!,0,Gesloten
6,Looney Tunes Correo Aéreo,0,Gesloten
7,Wile E. Coyote Zona de explosión,0,Gesloten
8,La Captura de Gossamer,0,Gesloten
9,Piolín y Silvestre Paseo en Autobús,0,Gesloten
10,Emergencias Pato Lucas,0,Gesloten
11,Marvin el Marciano Cohetes Espaciales,0,Gesloten
12,Cartoon Carrousel,0,Gesloten
13,Convoy de Camiones,0,Gesloten
14,He visto un lindo gatito,0,Gesloten
15,Correcaminos Bip Bip,0,Gesloten
16,Hotel Embrujado,0,Gesloten
17,Tom & Jerry Picnic en el Parque,0,Gesloten
18,Oso Yogui,0,Gesloten
19,Los Carros de la Mina,0,Gesloten
20,Scooby Doo's Tea Party Mistery,0,Gesloten
21,The Joker Coches de Choque,0,Gesloten
22,Cataratas Salvajes,0,Gesloten
23,Río Bravo,0,Gesloten
24,Mr. Freeze Fábrica de Hielo,0,Gesloten
25,Rápidos ACME,0,Gesloten
26,Superman™: Atracción de Acero,0,Gesloten
27,Coaster Express,0,Gesloten
28,Shadows of Arkham,0,Gesloten
29,La Venganza del Enigma,0,Gesloten
30,Lex Luthor Invertraton,0,Gesloten
31,Los Reyes Magos,0,Gesloten
32,Pasaje Infantil: El Bosque Animado,0,Gesloten
33,Batman Gotham City Escape,0,Gesloten
34,Stunt Fall,0,Gesloten
