,name,waittime (min),state
0,Bolles Flugschule,0,Gesloten
1,Taron,0,Gesloten
2,Raik,0,Gesloten
3,Mystery Castle,0,Gesloten
4,River Quest,0,Gesloten
5,Bolles Riesenrad,0,Gesloten
6,FLY,0,Gesloten
7,Wolke´s Luftpost,0,Gesloten
8,Adventure Trail,0,Gesloten
9,Colorado Adventure,0,Gesloten
10,Talocan,0,Gesloten
11,Tikal,0,Gesloten
12,Chiapas DIE Wasserbahn,0,Gesloten
13,Pferdekarussell,0,Gesloten
14,Maus-au-Chocolat,0,Gesloten
15,Feng Ju Palace,0,Gesloten
16,Geister Rikscha,0,Gesloten
17,Wellenflug,0,Gesloten
18,Black Mamba,0,Gesloten
19,Winja´s Fear,0,Gesloten
20,Verrücktes Hotel Tartüff,0,Gesloten
21,Winja´s Force,0,Gesloten
22,Tittle Tattle Tree,0,Gesloten
23,Würmling Express,0,Gesloten
24,Der lustige Papagei,0,Gesloten
25,Die fröhliche Bienchenjagd,0,Gesloten
26,Wirtl´s Taubenturm,0,Gesloten
27,Wözl´s Wassertreter,0,Gesloten
28,Bumper Klumpen,0,Gesloten
29,Wözl´s Duck Washer,0,Gesloten
30,Wupi´s Wabi Wipper,0,Gesloten
31,Crazy Bats,0,Gesloten
32,Wakobato,0,Gesloten
