,name,waittime (min),state
0,Anubis The Ride,0,Gesloten
1,De Eenden,0,Gesloten
2,Balloon Race,0,Gesloten
3,SuperSplash,0,Gesloten
4,De Vliegende Fietsen,0,Gesloten
5,Heidi The Ride,0,Gesloten
6,Bumba's Speeltuin,0,Gesloten
7,Carrousel,0,Gesloten
8,Big & Betsy Hoeve,0,Gesloten
9,De Bloemenmolen,0,Gesloten
10,De Dansende Fonteinen,0,Gesloten
11,De Dierenmolen,0,Gesloten
12,De Doorloopweide,0,Gesloten
13,De Draak,0,Gesloten
14,De Emmer,0,Gesloten
15,De Glijbaan,0,Gesloten
16,De Grote Golf,0,Gesloten
17,De Hangbrug,0,Gesloten
18,De Kikkers,0,Gesloten
19,De Klimboom,0,Gesloten
20,De Koffiekopjes,0,Gesloten
21,De Konijntjes,0,Gesloten
22,De Piratenboot,0,Gesloten
23,De Piratenspeeltuin,0,Gesloten
24,De Ploptuin,0,Gesloten
25,De Swingboom,0,Gesloten
26,De Tractors,0,Gesloten
27,De Tuin van Big,0,Gesloten
28,De Valtoren,0,Gesloten
29,De Waterlelies,0,Gesloten
30,F.C. De Kampioenen,0,Gesloten
31,Het Ballenbad,0,Gesloten
32,Het Bos van Plop,0,Gesloten
33,Het Spinnenweb,0,Gesloten
34,De Buurtpolitie Verkeerspark,0,Gesloten
35,Het Vlot,0,Gesloten
36,Tik Tak,0,Gesloten
37,Mega Mindy Jetski,0,Gesloten
38,Plopsa Express - Station Dorpsplein,0,Gesloten
39,K3 Roller Skater,0,Gesloten
40,Nachtwacht-Flyer,0,Gesloten
41,Safari,0,Gesloten
42,Scooter,0,Gesloten
43,Storm op Zee,0,Gesloten
44,#LikeMe Coaster,0,Gesloten
45,Waterfietsen,0,Gesloten
46,Wickie The Battle,0,Gesloten
47,Wienerwalz,0,Gesloten
48,Willies Speeltuin,0,Gesloten
49,DinoSplash,0,Gesloten
50,Story Walk of Fame,0,Gesloten
51,The Ride to Happiness by Tomorrowland,0,Gesloten
52,Op Reis Met Bumba,0,Gesloten
53,De Dolle Busrit,0,Gesloten
54,Bumballoon,0,Gesloten
55,Poppa's Klimtoren,0,Gesloten
56,Tumbi's Ballenbad,0,Gesloten
57,Plopsa Express - Station Heidiland,0,Gesloten
58,Plopsa Express - Station Wickieland,0,Gesloten
59,Plopsa Express - Station Ketnet Zone,0,Gesloten
60,Santa's Wonder House,0,Gesloten
