,name,waittime (min),state
0,Nemesis Inferno,0,Gesloten
1,Banana Ride,0,Gesloten
2,Rumba Rapids,0,Gesloten
3,Stealth,0,Gesloten
4,Tidal Wave,0,Gesloten
5,Flying Fish,0,Gesloten
6,Storm Surge,0,Gesloten
7,Storm in a Teacup,0,Gesloten
8,Colossus,0,Gesloten
9,Rush,0,Gesloten
10,Samurai,0,Gesloten
11,Vortex,0,Gesloten
12,Zodiac,0,Gesloten
13,Quantum,0,Gesloten
14,THE SWARM,0,Gesloten
15,SAW - The Ride,0,Gesloten
16,Depth Charge,0,Gesloten
17,Detonator,0,Gesloten
18,King Pig's Wild Hog Dodgems,0,Gesloten
19,Ghost Train,0,Gesloten
20,Lumber Jump,0,Gesloten
21,The Walking Dead: The Ride,0,Gesloten
