,name,waittime (min),state
0,Fēnix,0,Gesloten
1,Merlin's Quest,0,Gesloten
2,Dwervelwind,0,Gesloten
3,Waku Waku,0,Gesloten
4,Coco Bolo,0,Gesloten
5,Tolly Molly,0,Gesloten
6,Djengu River,0,Gesloten
7,Booster Bike,0,Gesloten
8,Exploria Magica,0,Gesloten
9,Paarden van Ithaka,0,Gesloten
10,Scorpios,0,Gesloten
11,Troy,0,Gesloten
12,Expedition Zork,0,Gesloten
13,Alpenrutsche,0,Gesloten
14,Wirbelbaum,0,Gesloten
15,Maximus' Blitz Bahn,0,Gesloten
16,Villa Fiasko,0,Gesloten
17,Drakenslangen,0,Gesloten
18,Toos-Express,0,Gesloten
19,Truukjes,0,Gesloten
20,Theekopjes,0,Gesloten
21,Vliegend Tapijt,0,Gesloten
22,Villa Toverhoed,0,Gesloten
23,Klokhuis,0,Gesloten
24,Djinn,0,Gesloten
25,Arthur’s Tournament Training,0,Gesloten
26,Fort Boreas,0,Gesloten
27,Karussell,0,Gesloten
28,Kletterabenteuer,0,Gesloten
29,Kletterparcours,0,Gesloten
30,Sim sa la Klim,0,Gesloten
31,Magiezijn,0,Gesloten
32,Maximus' Wunderball,0,Gesloten
33,Schaatsbaan,0,Gesloten
34,Curlingbaan,0,Gesloten
35,Tubingbaan,0,Gesloten
36,Pixarus,0,Gesloten
37,Dragonwatch,0,Gesloten
38,Garden Tour,0,Gesloten
39,Jumping Juna,0,Gesloten
40,Little Dragons,0,Gesloten
41,Sparky's Splash Dock,0,Gesloten
42,Waterdwarf Alley,0,Gesloten
43,Speelkasteel,0,Gesloten
44,Tovertuin,0,Gesloten
