,name,waittime (min),state
0,PULSAR,0,Gesloten
1,Buzzsaw,0,Gesloten
2,Bling Bling Madness,0,Gesloten
3,Tiki-Waka,0,Gesloten
4,Calamity Mine,0,Gesloten
5,Challenge of Tutankhamon,0,Gesloten
6,Cobra,0,Gesloten
7,Dalton Terror,0,Gesloten
8,Dragon Boat,0,Gesloten
9,Bubble Swirl,0,Gesloten
10,Flash Back,0,Gesloten
11,Gold River Adventure,0,Gesloten
12,Guitar Riff,0,Gesloten
13,4X4 Adventure,0,Gesloten
14,De Grote Carrousel,0,Gesloten
15,Het Paleis van de Geest,0,Gesloten
16,Het Vliegend Tapijt,0,Gesloten
17,Little Swing,0,Gesloten
18,Weerwolf,0,Gesloten
19,Melody Road,0,Gesloten
20,Octopus,0,Gesloten
21,Poneys,0,Gesloten
22,Psyké Underground,0,Gesloten
23,Radja River,0,Gesloten
24,Salsa y Fiesta,0,Gesloten
25,Kids Airlines,0,Gesloten
26,Tchou-tchou Express,0,Gesloten
27,Spinning Vibe,0,Gesloten
28,Spinning Taxi,0,Gesloten
29,Stunt Flight,0,Gesloten
30,Tuf Tuf Club,0,Gesloten
31,Vampire,0,Gesloten
32,Mini Tour,0,Gesloten
33,Tree House,0,Gesloten
34,Fun Recorder,0,Gesloten
35,Wave Swinger,0,Gesloten
36,Graffiti Shuttle,0,Gesloten
37,Tiki-Trail,0,Gesloten
38,Fun Pilot,0,Gesloten
39,Popcorn Revenge,0,Gesloten
40,4D - Los Banditos,0,Gesloten
41,Kondaa,0,Gesloten
42,Kondaala,0,Gesloten
43,Silverton,0,Gesloten
44,Glowing Entrance,0,Gesloten
45,Wonderland Test,0,Gesloten
46,Polar Playground,0,Gesloten
47,Glowing Greetings,0,Gesloten
48,Frozen Land,0,Gesloten
49,Alpin Village,0,Gesloten
