,name,waittime (min),state
0,Blast ,0,Gesloten
1,Condor,0,Gesloten
2,Cooldown,0,Gesloten
3,Crazy River,0,Gesloten
4,Drako,0,Gesloten
5,Eat My Dust,0,Gesloten
6,El Rio Grande,0,Gesloten
7,Fibi's Bubble Swirl,0,Gesloten
8,G-Force,0,Gesloten
9,Goliath,0,Gesloten
10,Haaz' Garage,0,Gesloten
11,La Grande Roue,0,Gesloten
12,Le Tour des Jardins,0,Gesloten
13,Los Sombreros,0,Gesloten
14,Lost Gravity,0,Gesloten
15,Merlin's Magic Castle,0,Gesloten
16,Merrie Go'Round,0,Gesloten
17,Mini Taxi's,0,Gesloten
18,Pavillon De Thé,0,Gesloten
19,Skydiver,0,Gesloten
20,Space Kidz,0,Gesloten
21,Space Shot,0,Gesloten
22,Speed of Sound,0,Gesloten
23,Spinning Vibe,0,Gesloten
24,Splash Battle,0,Gesloten
25,Squad's Stunt Flight,0,Gesloten
26,Super Swing,0,Gesloten
27,Tequila Taxi's,0,Gesloten
28,The Tomahawk,0,Gesloten
29,Untamed,0,Gesloten
30,W.A.B World Tour,0,Gesloten
31,Walibi Express station 1,0,Gesloten
32,Walibi Express station 2,0,Gesloten
33,Walibi's Fun Recorder,0,Gesloten
34,Wind Seekers,0,Gesloten
35,Xpress: Platform 13,0,Gesloten
36,Zenko's Graffiti Shuttle,0,Gesloten
