,name,waittime (min),state
0,The Twilight Zone Tower of Terror,0,Gesloten
1,Cars Quatre Roues Rallye,0,Gesloten
2,Crush's Coaster®,0,Gesloten
3,Spider-Man W.E.B. Adventure,0,Gesloten
4,Cars ROAD TRIP,0,Gesloten
5,Avengers Assemble: Flight Force,0,Gesloten
6,Ratatouille: The Adventure,0,Gesloten
7,RC Racer,0,Gesloten
8,Les Tapis Volants - Flying Carpets Over Agrabah®,0,Gesloten
9,Slinky® Dog Zigzag Spin,0,Gesloten
10,Toy Soldiers Parachute Drop,0,Gesloten
11,Hero Training Center: Spider-Man,0,Gesloten
12,Hero Training Center: Iron Man,0,Gesloten
13,Hero Training Center: Captain Marvel,0,Gesloten
14,Hero Training Center: Avenger,0,Gesloten
